distance,status,duration,fuel_consumed,percentage,remainingFuel,datetime
0,3,264286,0.0,100,863.0,2025-03-13 03:36:09.952487+00:00
0,3,272526,0.0,100,863.0,2025-03-13 05:53:29.770671+00:00
22,3,276163,22.0,97,840.0,2025-03-13 06:54:06.885957+00:00
0,3,280721,0.0,100,863.0,2025-03-13 08:10:06.274821+00:00
0,3,284361,0.0,100,863.0,2025-03-13 09:10:45.317017+00:00
69,3,288001,69.0,91,793.0,2025-03-13 10:11:25.401868+00:00
0,3,291639,0.0,100,863.0,2025-03-13 11:12:03.590100+00:00
46,3,296199,46.0,94,816.0,2025-03-13 12:28:03.230391+00:00
23,3,299842,23.0,97,839.0,2025-03-13 13:28:46.625626+00:00
23,3,304403,23.0,97,839.0,2025-03-13 14:44:47.431507+00:00
0,3,308041,0.0,100,863.0,2025-03-13 15:45:27.896857+00:00
0,3,311680,0.0,100,863.0,2025-03-13 16:46:04.752688+00:00
46,3,315318,23.0,94,816.0,2025-03-13 17:46:43.750750+00:00
23,3,318958,0.0,97,839.0,2025-03-13 18:47:22.102124+00:00
23,3,322595,23.0,97,839.0,2025-03-13 19:48:01.727333+00:00
0,3,326237,0.0,100,863.0,2025-03-13 20:48:41.073719+00:00
46,3,329876,0.0,94,816.0,2025-03-13 21:49:19.748315+00:00
0,3,333515,0.0,100,863.0,2025-03-13 22:49:58.869625+00:00
0,3,337151,0.0,100,863.0,2025-03-13 23:50:35.893725+00:00
0,3,340785,0.0,100,863.0,2025-03-14 00:51:09.845913+00:00
0,3,344425,0.0,100,863.0,2025-03-14 01:51:49.260512+00:00
0,3,348074,0.0,100,863.0,2025-03-14 02:52:38.227818+00:00
45,3,350802,45.0,94,817.0,2025-03-14 03:38:05.447968+00:00
45,3,355383,22.0,94,817.0,2025-03-14 04:54:27.501087+00:00
0,3,358112,0.0,100,863.0,2025-03-14 05:39:55.424810+00:00
22,3,360839,22.0,97,840.0,2025-03-14 06:25:26.454524+00:00
0,3,363571,0.0,100,863.0,2025-03-14 07:10:57.976529+00:00
